Parameter,Last value,Local Time
CTD depth,1.77,08/19/15 08:03 AM
cond,4.369,08/19/15 08:03 AM
density,24.124,08/19/15 08:03 AM
salinity,33.385,08/19/15 08:03 AM
CTD temp,17.671,08/19/15 08:03 AM
ECO Chlor,3.439,08/19/15 08:03 AM
ECO NTU,1.114,08/19/15 08:03 AM
G2 Biolume,0.000E+0,08/19/15 08:03 AM
G2 flow,0,08/19/15 08:03 AM
G2 depth,0.00,08/19/15 08:03 AM
G3 biolume,0.000E+0,08/19/15 08:03 AM
G3 flow,0,08/19/15 08:03 AM
ctrl depth,-9.98,08/19/15 08:03 AM
Xmiss,0.839,08/19/15 08:03 AM
LSS,0.992,08/19/15 08:03 AM
cable,7.63,08/19/15 08:03 AM
UBAT bio,0.000E+0,08/19/15 08:03 AM
UBAT flow,0,08/19/15 08:03 AM
G3 net,0.0,08/19/15 08:03 AM
UBAT net,0.0,08/19/15 08:03 AM
WinchV,50.00,08/19/15 08:03 AM
oxygen,155.56,08/19/15 08:03 AM
saturation,64.27,08/19/15 08:03 AM
OXO temp.,17.74,08/19/15 08:03 AM
