yearday,computer time,CTD depth,cond,density,salinity,CTD temp,ECO Chlor,ECO NTU,G2 Biolume,G2 flow,G2 depth,G3 biolume,G3 flow,ctrl depth,Xmiss,LSS,cable,UBAT bio,UBAT flow,G3 net, UBAT net, WinchV,oxygen, saturation,OXO temp.
231,3:03:17 PM,0.71,4.379,24.105,33.396,17.768,3.475,0.973,0.000E+0,0,0.00,0.000E+0,0,-9.98,0.848,0.825,6.80,0.000E+0,0,0.0,0.0,50.00,159.64,65.92,17.71
231,3:03:18 PM,0.56,4.374,24.067,33.350,17.774,3.534,0.954,0.000E+0,0,0.00,0.000E+0,0,-9.98,0.848,0.831,6.75,0.000E+0,0,0.0,0.0,50.00,159.09,65.70,17.72
231,3:03:19 PM,0.56,4.374,24.067,33.350,17.774,3.665,0.986,0.000E+0,0,0.00,0.000E+0,0,-9.98,0.844,0.836,6.69,0.000E+0,0,0.0,0.0,50.00,159.09,65.70,17.72
231,3:03:20 PM,0.64,4.377,24.081,33.368,17.776,3.558,1.030,0.000E+0,0,0.00,0.000E+0,0,-9.98,0.845,0.842,6.66,0.000E+0,0,0.0,0.0,50.00,158.70,65.55,17.73
231,3:03:20 PM,0.64,4.377,24.081,33.368,17.776,3.558,1.030,0.000E+0,0,0.00,0.000E+0,0,-9.98,0.843,0.848,6.67,0.000E+0,0,0.0,0.0,50.00,158.70,65.55,17.73
231,3:03:21 PM,0.76,4.378,24.095,33.384,17.772,3.451,1.011,0.000E+0,0,0.00,0.000E+0,0,-9.98,0.844,0.853,6.78,0.000E+0,0,0.0,0.0,50.00,158.57,65.50,17.73
231,3:03:23 PM,0.93,4.379,24.098,33.388,17.772,3.582,1.024,0.000E+0,0,0.00,0.000E+0,0,-9.98,0.844,0.859,6.80,0.000E+0,0,0.0,0.0,50.00,158.34,65.41,17.74
231,3:03:23 PM,0.93,4.379,24.098,33.388,17.772,3.582,1.024,0.000E+0,0,0.00,0.000E+0,0,-9.98,0.845,0.865,6.80,0.000E+0,0,0.0,0.0,50.00,158.34,65.41,17.74
231,3:03:25 PM,0.95,4.379,24.098,33.387,17.773,3.653,0.941,0.000E+0,0,0.00,0.000E+0,0,-9.98,0.841,0.870,6.88,0.000E+0,0,0.0,0.0,50.00,158.11,65.31,17.74
231,3:03:25 PM,0.95,4.379,24.098,33.387,17.773,3.653,0.941,0.000E+0,0,0.00,0.000E+0,0,-9.98,0.847,0.876,6.88,0.000E+0,0,0.0,0.0,50.00,158.11,65.31,17.74
231,3:03:27 PM,0.94,4.379,24.099,33.389,17.773,3.570,0.960,0.000E+0,0,0.00,0.000E+0,0,-9.98,0.843,0.881,6.93,0.000E+0,0,0.0,0.0,50.00,157.96,65.26,17.74
231,3:03:28 PM,0.92,4.378,24.105,33.393,17.760,3.641,0.941,0.000E+0,0,0.00,0.000E+0,0,-9.98,0.840,0.886,6.93,0.000E+0,0,0.0,0.0,50.00,157.96,65.26,17.74
231,3:03:29 PM,0.89,4.379,24.113,33.403,17.756,3.606,0.954,0.000E+0,0,0.00,0.000E+0,0,-9.98,0.843,0.892,6.95,0.000E+0,0,0.0,0.0,50.00,157.53,65.08,17.74
231,3:03:30 PM,0.93,4.379,24.105,33.395,17.766,3.701,1.043,0.000E+0,0,0.00,0.000E+0,0,-9.98,0.841,0.897,6.97,0.000E+0,0,0.0,0.0,50.00,157.53,65.08,17.74
231,3:03:31 PM,0.99,4.379,24.107,33.396,17.764,3.630,1.043,0.000E+0,0,0.00,0.000E+0,0,-9.98,0.842,0.902,7.02,0.000E+0,0,0.0,0.0,50.00,157.23,64.96,17.75
231,3:03:32 PM,0.99,4.379,24.107,33.396,17.764,3.558,1.024,0.000E+0,0,0.00,0.000E+0,0,-9.98,0.841,0.907,7.02,0.000E+0,0,0.0,0.0,50.00,157.23,64.96,17.75
231,3:03:32 PM,1.07,4.379,24.111,33.400,17.761,3.499,0.986,0.000E+0,0,0.00,0.000E+0,0,-9.98,0.844,0.913,7.13,0.000E+0,0,0.0,0.0,50.00,157.07,64.90,17.75
231,3:03:34 PM,1.22,4.377,24.116,33.400,17.742,3.415,1.030,0.000E+0,0,0.00,0.000E+0,0,-9.98,0.843,0.918,7.17,0.000E+0,0,0.0,0.0,50.00,156.83,64.80,17.75
231,3:03:34 PM,1.22,4.377,24.116,33.400,17.742,3.415,1.030,0.000E+0,0,0.00,0.000E+0,0,-9.98,0.843,0.918,7.17,0.000E+0,0,0.0,0.0,50.00,156.83,64.80,17.75
231,3:03:35 PM,1.22,4.377,24.116,33.400,17.742,3.415,0.973,0.000E+0,0,0.00,0.000E+0,0,-9.98,0.842,0.923,7.17,0.000E+0,0,0.0,0.0,50.00,156.83,64.80,17.75
231,3:03:36 PM,1.26,4.374,24.141,33.415,17.688,3.368,0.890,0.000E+0,0,0.00,0.000E+0,0,-9.98,0.845,0.928,7.17,0.000E+0,0,0.0,0.0,50.00,156.73,64.76,17.75
231,3:03:37 PM,1.26,4.374,24.141,33.415,17.688,3.522,0.922,0.000E+0,0,0.00,0.000E+0,0,-9.98,0.843,0.934,7.19,0.000E+0,0,0.0,0.0,50.00,156.73,64.76,17.75
231,3:03:38 PM,1.26,4.374,24.141,33.415,17.688,3.558,0.915,0.000E+0,0,0.00,0.000E+0,0,-9.98,0.842,0.939,7.24,0.000E+0,0,0.0,0.0,50.00,156.59,64.71,17.75
231,3:03:39 PM,1.30,4.373,24.145,33.416,17.676,3.570,1.005,0.000E+0,0,0.00,0.000E+0,0,-9.98,0.839,0.944,7.26,0.000E+0,0,0.0,0.0,50.00,156.46,64.65,17.75
231,3:03:40 PM,1.40,4.373,24.158,33.429,17.664,3.499,0.979,0.000E+0,0,0.00,0.000E+0,0,-9.98,0.839,0.949,7.30,0.000E+0,0,0.0,0.0,50.00,156.37,64.61,17.75
231,3:03:41 PM,1.45,4.372,24.156,33.424,17.657,3.475,0.960,0.000E+0,0,0.00,0.000E+0,0,-9.98,0.839,0.954,7.31,0.000E+0,0,0.0,0.0,50.00,156.35,64.60,17.75
231,3:03:42 PM,1.45,4.371,24.154,33.420,17.652,3.463,0.902,0.000E+0,0,0.00,0.000E+0,0,-9.98,0.840,0.959,7.35,0.000E+0,0,0.0,0.0,50.00,156.27,64.56,17.75
231,3:03:43 PM,1.43,4.370,24.146,33.411,17.656,3.427,0.877,0.000E+0,0,0.00,0.000E+0,0,-9.98,0.842,0.963,7.39,0.000E+0,0,0.0,0.0,50.00,156.16,64.52,17.74
231,3:03:44 PM,1.43,4.370,24.146,33.411,17.656,3.511,0.902,0.000E+0,0,0.00,0.000E+0,0,-9.98,0.838,0.968,7.42,0.000E+0,0,0.0,0.0,50.00,156.16,64.52,17.74
231,3:03:45 PM,1.41,4.372,24.146,33.416,17.669,3.606,0.941,0.000E+0,0,0.00,0.000E+0,0,-9.98,0.838,0.973,7.46,0.000E+0,0,0.0,0.0,50.00,155.97,64.44,17.75
231,3:03:46 PM,1.41,4.372,24.146,33.416,17.669,3.630,1.024,0.000E+0,0,0.00,0.000E+0,0,-9.98,0.839,0.978,7.48,0.000E+0,0,0.0,0.0,50.00,155.97,64.44,17.75
